2792 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2796 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:host.name=yorik-nb
2796 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.version=1.7.0_21
2796 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation
2796 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.home=C:\Program Files (x86)\Java\jdk1.7.0_21\jre
2796 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.class.path=C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\charsets.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\deploy.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\javaws.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jce.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jfr.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jfxrt.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jsse.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\management-agent.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\plugin.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\resources.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\rt.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\access-bridge-32.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\dnsns.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\jaccess.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\localedata.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunec.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunjce_provider.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunmscapi.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunpkcs11.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\zipfs.jar;C:\projects\machinelearning\cloudapp-mp3-master\target\classes;C:\apache-storm-0.9.5\lib\asm-4.0.jar;C:\apache-storm-0.9.5\lib\carbonite-1.4.0.jar;C:\apache-storm-0.9.5\lib\chill-java-0.3.5.jar;C:\apache-storm-0.9.5\lib\clj-stacktrace-0.2.2.jar;C:\apache-storm-0.9.5\lib\clj-time-0.4.1.jar;C:\apache-storm-0.9.5\lib\clojure-1.5.1.jar;C:\apache-storm-0.9.5\lib\clout-1.0.1.jar;C:\apache-storm-0.9.5\lib\commons-codec-1.6.jar;C:\apache-storm-0.9.5\lib\commons-exec-1.1.jar;C:\apache-storm-0.9.5\lib\commons-fileupload-1.2.1.jar;C:\apache-storm-0.9.5\lib\commons-io-2.4.jar;C:\apache-storm-0.9.5\lib\commons-lang-2.5.jar;C:\apache-storm-0.9.5\lib\commons-logging-1.1.3.jar;C:\apache-storm-0.9.5\lib\compojure-1.1.3.jar;C:\apache-storm-0.9.5\lib\core.incubator-0.1.0.jar;C:\apache-storm-0.9.5\lib\disruptor-2.10.1.jar;C:\apache-storm-0.9.5\lib\hiccup-0.3.6.jar;C:\apache-storm-0.9.5\lib\jetty-6.1.26.jar;C:\apache-storm-0.9.5\lib\jetty-util-6.1.26.jar;C:\apache-storm-0.9.5\lib\jgrapht-core-0.9.0.jar;C:\apache-storm-0.9.5\lib\jline-2.11.jar;C:\apache-storm-0.9.5\lib\joda-time-2.0.jar;C:\apache-storm-0.9.5\lib\json-simple-1.1.jar;C:\apache-storm-0.9.5\lib\kryo-2.21.jar;C:\apache-storm-0.9.5\lib\log4j-over-slf4j-1.6.6.jar;C:\apache-storm-0.9.5\lib\logback-classic-1.0.13.jar;C:\apache-storm-0.9.5\lib\logback-core-1.0.13.jar;C:\apache-storm-0.9.5\lib\math.numeric-tower-0.0.1.jar;C:\apache-storm-0.9.5\lib\minlog-1.2.jar;C:\apache-storm-0.9.5\lib\objenesis-1.2.jar;C:\apache-storm-0.9.5\lib\reflectasm-1.07-shaded.jar;C:\apache-storm-0.9.5\lib\ring-core-1.1.5.jar;C:\apache-storm-0.9.5\lib\ring-devel-0.3.11.jar;C:\apache-storm-0.9.5\lib\ring-jetty-adapter-0.3.11.jar;C:\apache-storm-0.9.5\lib\ring-servlet-0.3.11.jar;C:\apache-storm-0.9.5\lib\servlet-api-2.5.jar;C:\apache-storm-0.9.5\lib\slf4j-api-1.7.5.jar;C:\apache-storm-0.9.5\lib\snakeyaml-1.11.jar;C:\apache-storm-0.9.5\lib\storm-core-0.9.5.jar;C:\apache-storm-0.9.5\lib\tools.cli-0.2.4.jar;C:\apache-storm-0.9.5\lib\tools.logging-0.2.3.jar;C:\apache-storm-0.9.5\lib\tools.macro-0.1.0.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 12.0\lib\idea_rt.jar
2796 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.library.path=C:\Program Files (x86)\Java\jdk1.7.0_21\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 12.0\bin\..\.\bin;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Oracle\Java\javapath;C:\Ruby193\bin;C:\Program Files (x86)\PHP\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Git\cmd;C:\maven\bin;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\runtime\win64;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\bin;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\polyspace\bin;C:\hadoop\bin;C:\Program Files\Microsoft Windows Performance Toolkit\;C:\cygwin64\bin;C:\apache-storm-0.9.5\bin;c:\program files (x86)\jetbrains\intellij idea 12.0\jre\jre\bin;.
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=C:\Users\yorik\AppData\Local\Temp\
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.name=Windows 7
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.arch=x86
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.version=6.1
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:user.name=yorik
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:user.home=C:\Users\yorik
2798 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:user.dir=C:\projects\machinelearning\cloudapp-mp3-master
2815 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2815 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:host.name=yorik-nb
2815 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.version=1.7.0_21
2815 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.vendor=Oracle Corporation
2815 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.home=C:\Program Files (x86)\Java\jdk1.7.0_21\jre
2815 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.class.path=C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\charsets.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\deploy.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\javaws.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jce.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jfr.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jfxrt.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\jsse.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\management-agent.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\plugin.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\resources.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\rt.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\access-bridge-32.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\dnsns.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\jaccess.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\localedata.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunec.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunjce_provider.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunmscapi.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\sunpkcs11.jar;C:\Program Files (x86)\Java\jdk1.7.0_21\jre\lib\ext\zipfs.jar;C:\projects\machinelearning\cloudapp-mp3-master\target\classes;C:\apache-storm-0.9.5\lib\asm-4.0.jar;C:\apache-storm-0.9.5\lib\carbonite-1.4.0.jar;C:\apache-storm-0.9.5\lib\chill-java-0.3.5.jar;C:\apache-storm-0.9.5\lib\clj-stacktrace-0.2.2.jar;C:\apache-storm-0.9.5\lib\clj-time-0.4.1.jar;C:\apache-storm-0.9.5\lib\clojure-1.5.1.jar;C:\apache-storm-0.9.5\lib\clout-1.0.1.jar;C:\apache-storm-0.9.5\lib\commons-codec-1.6.jar;C:\apache-storm-0.9.5\lib\commons-exec-1.1.jar;C:\apache-storm-0.9.5\lib\commons-fileupload-1.2.1.jar;C:\apache-storm-0.9.5\lib\commons-io-2.4.jar;C:\apache-storm-0.9.5\lib\commons-lang-2.5.jar;C:\apache-storm-0.9.5\lib\commons-logging-1.1.3.jar;C:\apache-storm-0.9.5\lib\compojure-1.1.3.jar;C:\apache-storm-0.9.5\lib\core.incubator-0.1.0.jar;C:\apache-storm-0.9.5\lib\disruptor-2.10.1.jar;C:\apache-storm-0.9.5\lib\hiccup-0.3.6.jar;C:\apache-storm-0.9.5\lib\jetty-6.1.26.jar;C:\apache-storm-0.9.5\lib\jetty-util-6.1.26.jar;C:\apache-storm-0.9.5\lib\jgrapht-core-0.9.0.jar;C:\apache-storm-0.9.5\lib\jline-2.11.jar;C:\apache-storm-0.9.5\lib\joda-time-2.0.jar;C:\apache-storm-0.9.5\lib\json-simple-1.1.jar;C:\apache-storm-0.9.5\lib\kryo-2.21.jar;C:\apache-storm-0.9.5\lib\log4j-over-slf4j-1.6.6.jar;C:\apache-storm-0.9.5\lib\logback-classic-1.0.13.jar;C:\apache-storm-0.9.5\lib\logback-core-1.0.13.jar;C:\apache-storm-0.9.5\lib\math.numeric-tower-0.0.1.jar;C:\apache-storm-0.9.5\lib\minlog-1.2.jar;C:\apache-storm-0.9.5\lib\objenesis-1.2.jar;C:\apache-storm-0.9.5\lib\reflectasm-1.07-shaded.jar;C:\apache-storm-0.9.5\lib\ring-core-1.1.5.jar;C:\apache-storm-0.9.5\lib\ring-devel-0.3.11.jar;C:\apache-storm-0.9.5\lib\ring-jetty-adapter-0.3.11.jar;C:\apache-storm-0.9.5\lib\ring-servlet-0.3.11.jar;C:\apache-storm-0.9.5\lib\servlet-api-2.5.jar;C:\apache-storm-0.9.5\lib\slf4j-api-1.7.5.jar;C:\apache-storm-0.9.5\lib\snakeyaml-1.11.jar;C:\apache-storm-0.9.5\lib\storm-core-0.9.5.jar;C:\apache-storm-0.9.5\lib\tools.cli-0.2.4.jar;C:\apache-storm-0.9.5\lib\tools.logging-0.2.3.jar;C:\apache-storm-0.9.5\lib\tools.macro-0.1.0.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 12.0\lib\idea_rt.jar
